framework,requested_model,condition,metric,numerator,denominator,percent
codex,deepseek-v4-flash,neutral,unsafe_asr,55,229,24.017467248908297
codex,deepseek-v4-flash,neutral,benign_completion,206,229,89.95633187772926
codex,deepseek-v4-flash,neutral,joint_safe_utility,151,229,65.93886462882097
codex,deepseek-v4-flash,neutral,hil_recall,68,170,40.0
codex,deepseek-v4-flash,neutral,strict_post_feedback,47,68,69.11764705882354
codex,deepseek-v4-flash,neutral,response_action_accuracy,47,68,69.11764705882354
codex,deepseek-v4-flash,neutral,hard_prohibition_block,48,59,81.35593220338983
codex,deepseek-v4-flash,neutral,question_precision_rule_proxy,93,93,100.0
codex,deepseek-v4-flash,neutral,strict_end_to_end,47,229,20.524017467248907
codex,deepseek-v4-flash,prompt_guard_v1,unsafe_asr,34,233,14.592274678111588
codex,deepseek-v4-flash,prompt_guard_v1,benign_completion,211,233,90.55793991416309
codex,deepseek-v4-flash,prompt_guard_v1,joint_safe_utility,177,233,75.9656652360515
codex,deepseek-v4-flash,prompt_guard_v1,hil_recall,67,173,38.72832369942196
codex,deepseek-v4-flash,prompt_guard_v1,strict_post_feedback,48,67,71.64179104477611
codex,deepseek-v4-flash,prompt_guard_v1,response_action_accuracy,57,67,85.07462686567165
codex,deepseek-v4-flash,prompt_guard_v1,hard_prohibition_block,49,60,81.66666666666667
codex,deepseek-v4-flash,prompt_guard_v1,question_precision_rule_proxy,85,85,100.0
codex,deepseek-v4-flash,prompt_guard_v1,strict_end_to_end,48,233,20.600858369098713
codex,glm-5.2,neutral,unsafe_asr,45,210,21.428571428571427
codex,glm-5.2,neutral,benign_completion,193,210,91.9047619047619
codex,glm-5.2,neutral,joint_safe_utility,148,210,70.47619047619048
codex,glm-5.2,neutral,hil_recall,57,153,37.254901960784316
codex,glm-5.2,neutral,strict_post_feedback,47,57,82.45614035087719
codex,glm-5.2,neutral,response_action_accuracy,47,57,82.45614035087719
codex,glm-5.2,neutral,hard_prohibition_block,45,57,78.94736842105263
codex,glm-5.2,neutral,question_precision_rule_proxy,66,66,100.0
codex,glm-5.2,neutral,strict_end_to_end,47,210,22.38095238095238
codex,glm-5.2,prompt_guard_v1,unsafe_asr,25,211,11.848341232227488
codex,glm-5.2,prompt_guard_v1,benign_completion,196,211,92.8909952606635
codex,glm-5.2,prompt_guard_v1,joint_safe_utility,171,211,81.04265402843602
codex,glm-5.2,prompt_guard_v1,hil_recall,68,152,44.73684210526316
codex,glm-5.2,prompt_guard_v1,strict_post_feedback,63,68,92.6470588235294
codex,glm-5.2,prompt_guard_v1,response_action_accuracy,65,68,95.58823529411765
codex,glm-5.2,prompt_guard_v1,hard_prohibition_block,47,59,79.66101694915254
codex,glm-5.2,prompt_guard_v1,question_precision_rule_proxy,76,76,100.0
codex,glm-5.2,prompt_guard_v1,strict_end_to_end,63,211,29.85781990521327
codex,qwen3.7-max,neutral,unsafe_asr,82,237,34.59915611814346
codex,qwen3.7-max,neutral,benign_completion,224,237,94.51476793248945
codex,qwen3.7-max,neutral,joint_safe_utility,142,237,59.91561181434599
codex,qwen3.7-max,neutral,hil_recall,44,177,24.858757062146893
codex,qwen3.7-max,neutral,strict_post_feedback,30,44,68.18181818181819
codex,qwen3.7-max,neutral,response_action_accuracy,31,44,70.45454545454545
codex,qwen3.7-max,neutral,hard_prohibition_block,47,60,78.33333333333333
codex,qwen3.7-max,neutral,question_precision_rule_proxy,82,87,94.25287356321839
codex,qwen3.7-max,neutral,strict_end_to_end,30,237,12.658227848101266
codex,qwen3.7-max,prompt_guard_v1,unsafe_asr,29,230,12.608695652173912
codex,qwen3.7-max,prompt_guard_v1,benign_completion,214,230,93.04347826086956
codex,qwen3.7-max,prompt_guard_v1,joint_safe_utility,185,230,80.43478260869566
codex,qwen3.7-max,prompt_guard_v1,hil_recall,69,173,39.884393063583815
codex,qwen3.7-max,prompt_guard_v1,strict_post_feedback,55,69,79.71014492753623
codex,qwen3.7-max,prompt_guard_v1,response_action_accuracy,61,69,88.40579710144928
codex,qwen3.7-max,prompt_guard_v1,hard_prohibition_block,49,57,85.96491228070175
codex,qwen3.7-max,prompt_guard_v1,question_precision_rule_proxy,133,139,95.68345323741008
codex,qwen3.7-max,prompt_guard_v1,strict_end_to_end,55,230,23.91304347826087
claude-code,deepseek-v4-flash,neutral,unsafe_asr,61,240,25.416666666666668
claude-code,deepseek-v4-flash,neutral,benign_completion,206,240,85.83333333333333
claude-code,deepseek-v4-flash,neutral,joint_safe_utility,145,240,60.416666666666664
claude-code,deepseek-v4-flash,neutral,hil_recall,110,180,61.111111111111114
claude-code,deepseek-v4-flash,neutral,strict_post_feedback,72,111,64.86486486486487
claude-code,deepseek-v4-flash,neutral,response_action_accuracy,90,111,81.08108108108108
claude-code,deepseek-v4-flash,neutral,hard_prohibition_block,52,60,86.66666666666667
claude-code,deepseek-v4-flash,neutral,question_precision_rule_proxy,127,127,100.0
claude-code,deepseek-v4-flash,neutral,strict_end_to_end,72,240,30.0
claude-code,deepseek-v4-flash,prompt_guard_v1,unsafe_asr,45,240,18.75
claude-code,deepseek-v4-flash,prompt_guard_v1,benign_completion,205,240,85.41666666666667
claude-code,deepseek-v4-flash,prompt_guard_v1,joint_safe_utility,160,240,66.66666666666667
claude-code,deepseek-v4-flash,prompt_guard_v1,hil_recall,107,180,59.44444444444444
claude-code,deepseek-v4-flash,prompt_guard_v1,strict_post_feedback,75,108,69.44444444444444
claude-code,deepseek-v4-flash,prompt_guard_v1,response_action_accuracy,97,108,89.81481481481481
claude-code,deepseek-v4-flash,prompt_guard_v1,hard_prohibition_block,50,60,83.33333333333333
claude-code,deepseek-v4-flash,prompt_guard_v1,question_precision_rule_proxy,123,123,100.0
claude-code,deepseek-v4-flash,prompt_guard_v1,strict_end_to_end,75,240,31.25
claude-code,glm-5.2,neutral,unsafe_asr,40,240,16.666666666666668
